date,country,H,I,S,M,D
2021-04-01,Afghanistan,37,0,0,0,0
2021-04-01,Japan,122,0,0,0,0
2021-04-01,Sweden,9,0,0,0,0
2021-04-02,Afghanistan,31,6,0,0,0
2021-04-02,Japan,89,33,0,0,0
2021-04-02,Sweden,6,3,0,0,0
2021-04-03,Afghanistan,22,15,0,0,0
2021-04-03,Japan,67,55,0,0,0
2021-04-03,Sweden,1,8,0,0,0
2021-04-04,Afghanistan,17,20,0,0,0
2021-04-04,Japan,47,75,0,0,0
2021-04-04,Sweden,0,9,0,0,0
2021-04-05,Afghanistan,11,26,0,0,0
2021-04-05,Japan,35,87,0,0,0
2021-04-05,Sweden,0,9,0,0,0
2021-04-06,Afghanistan,10,21,5,1,0
2021-04-06,Japan,25,64,15,18,0
2021-04-06,Sweden,0,6,2,1,0
2021-04-07,Afghanistan,9,13,11,4,0
2021-04-07,Japan,20,47,26,29,0
2021-04-07,Sweden,0,1,5,3,0
2021-04-08,Afghanistan,9,8,13,7,0
2021-04-08,Japan,12,35,37,38,0
2021-04-08,Sweden,0,0,6,3,0
2021-04-09,Afghanistan,7,4,16,10,0
2021-04-09,Japan,10,25,45,42,0
2021-04-09,Sweden,0,0,6,3,0
2021-04-10,Afghanistan,5,5,17,10,0
2021-04-10,Japan,8,17,49,48,0
2021-04-10,Sweden,0,0,6,3,0
2021-04-11,Afghanistan,4,5,17,11,0
2021-04-11,Japan,6,14,50,52,0
2021-04-11,Sweden,0,0,6,3,0
2021-04-12,Afghanistan,3,6,17,11,0
2021-04-12,Japan,4,8,54,56,0
2021-04-12,Sweden,0,0,6,3,0
2021-04-13,Afghanistan,1,6,18,12,0
2021-04-13,Japan,3,7,54,58,0
2021-04-13,Sweden,0,0,6,3,0
2021-04-14,Afghanistan,1,4,19,13,0
2021-04-14,Japan,3,5,55,59,0
2021-04-14,Sweden,0,0,6,3,0
2021-04-15,Afghanistan,1,3,19,14,0
2021-04-15,Japan,3,3,56,60,0
2021-04-15,Sweden,0,0,6,3,0
2021-04-16,Afghanistan,1,2,20,14,0
2021-04-16,Japan,3,1,57,61,0
2021-04-16,Sweden,0,0,6,3,0
2021-04-17,Afghanistan,1,0,21,15,0
2021-04-17,Japan,1,2,58,61,0
2021-04-17,Sweden,0,0,6,3,0
2021-04-18,Afghanistan,0,1,21,15,0
2021-04-18,Japan,0,3,58,61,0
2021-04-18,Sweden,0,0,6,3,0
2021-04-19,Afghanistan,0,1,21,15,0
2021-04-19,Japan,0,3,58,61,0
2021-04-19,Sweden,0,0,6,3,0
2021-04-20,Afghanistan,0,1,16,20,0
2021-04-20,Japan,0,3,43,71,5
2021-04-20,Sweden,0,0,4,4,1
2021-04-21,Afghanistan,0,1,10,24,2
2021-04-21,Japan,0,1,34,82,5
2021-04-21,Sweden,0,0,1,7,1
2021-04-22,Afghanistan,0,0,8,27,2
2021-04-22,Japan,0,0,24,90,8
2021-04-22,Sweden,0,0,0,8,1
2021-04-23,Afghanistan,0,0,5,30,2
2021-04-23,Japan,0,0,16,98,8
2021-04-23,Sweden,0,0,0,8,1
2021-04-24,Afghanistan,0,0,4,31,2
2021-04-24,Japan,0,0,12,100,10
2021-04-24,Sweden,0,0,0,8,1
2021-04-25,Afghanistan,0,0,4,31,2
2021-04-25,Japan,0,0,11,101,10
2021-04-25,Sweden,0,0,0,8,1
2021-04-26,Afghanistan,0,0,4,31,2
2021-04-26,Japan,0,0,7,105,10
2021-04-26,Sweden,0,0,0,8,1
2021-04-27,Afghanistan,0,0,3,32,2
2021-04-27,Japan,0,0,7,105,10
2021-04-27,Sweden,0,0,0,8,1
2021-04-28,Afghanistan,0,0,2,33,2
2021-04-28,Japan,0,0,6,106,10
2021-04-28,Sweden,0,0,0,8,1
2021-04-29,Afghanistan,0,0,2,33,2
2021-04-29,Japan,0,0,5,107,10
2021-04-29,Sweden,0,0,0,8,1
2021-04-30,Afghanistan,0,0,1,34,2
2021-04-30,Japan,0,0,4,108,10
2021-04-30,Sweden,0,0,0,8,1
2021-05-01,Afghanistan,0,0,0,35,2
2021-05-01,Japan,0,0,3,109,10
2021-05-01,Sweden,0,0,0,8,1
2021-05-02,Afghanistan,0,0,0,35,2
2021-05-02,Japan,0,0,3,109,10
2021-05-02,Sweden,0,0,0,8,1
2021-05-03,Afghanistan,0,0,0,35,2
2021-05-03,Japan,0,0,3,109,10
2021-05-03,Sweden,0,0,0,8,1
2021-05-04,Afghanistan,0,0,0,35,2
2021-05-04,Japan,0,0,3,109,10
2021-05-04,Sweden,0,0,0,8,1
2021-05-05,Afghanistan,0,0,0,35,2
2021-05-05,Japan,0,0,1,110,11
2021-05-05,Sweden,0,0,0,8,1
2021-05-06,Afghanistan,0,0,0,35,2
2021-05-06,Japan,0,0,0,111,11
2021-05-06,Sweden,0,0,0,8,1
2021-05-07,Afghanistan,0,0,0,35,2
2021-05-07,Japan,0,0,0,111,11
2021-05-07,Sweden,0,0,0,8,1
2021-05-08,Afghanistan,0,0,0,35,2
2021-05-08,Japan,0,0,0,111,11
2021-05-08,Sweden,0,0,0,8,1
2021-05-09,Afghanistan,0,0,0,35,2
2021-05-09,Japan,0,0,0,111,11
2021-05-09,Sweden,0,0,0,8,1
2021-05-10,Afghanistan,0,0,0,35,2
2021-05-10,Japan,0,0,0,111,11
2021-05-10,Sweden,0,0,0,8,1
2021-05-11,Afghanistan,0,0,0,35,2
2021-05-11,Japan,0,0,0,111,11
2021-05-11,Sweden,0,0,0,8,1
2021-05-12,Afghanistan,0,0,0,35,2
2021-05-12,Japan,0,0,0,111,11
2021-05-12,Sweden,0,0,0,8,1
2021-05-13,Afghanistan,0,0,0,35,2
2021-05-13,Japan,0,0,0,111,11
2021-05-13,Sweden,0,0,0,8,1
2021-05-14,Afghanistan,0,0,0,35,2
2021-05-14,Japan,0,0,0,111,11
2021-05-14,Sweden,0,0,0,8,1
2021-05-15,Afghanistan,0,0,0,35,2
2021-05-15,Japan,0,0,0,111,11
2021-05-15,Sweden,0,0,0,8,1
2021-05-16,Afghanistan,0,0,0,35,2
2021-05-16,Japan,0,0,0,111,11
2021-05-16,Sweden,0,0,0,8,1
2021-05-17,Afghanistan,0,0,0,35,2
2021-05-17,Japan,0,0,0,111,11
2021-05-17,Sweden,0,0,0,8,1
2021-05-18,Afghanistan,0,0,0,35,2
2021-05-18,Japan,0,0,0,111,11
2021-05-18,Sweden,0,0,0,8,1
2021-05-19,Afghanistan,0,0,0,35,2
2021-05-19,Japan,0,0,0,111,11
2021-05-19,Sweden,0,0,0,8,1
2021-05-20,Afghanistan,0,0,0,35,2
2021-05-20,Japan,0,0,0,111,11
2021-05-20,Sweden,0,0,0,8,1
2021-05-21,Afghanistan,0,0,0,35,2
2021-05-21,Japan,0,0,0,111,11
2021-05-21,Sweden,0,0,0,8,1
2021-05-22,Afghanistan,0,0,0,35,2
2021-05-22,Japan,0,0,0,111,11
2021-05-22,Sweden,0,0,0,8,1
2021-05-23,Afghanistan,0,0,0,35,2
2021-05-23,Japan,0,0,0,111,11
2021-05-23,Sweden,0,0,0,8,1
2021-05-24,Afghanistan,0,0,0,35,2
2021-05-24,Japan,0,0,0,111,11
2021-05-24,Sweden,0,0,0,8,1
2021-05-25,Afghanistan,0,0,0,35,2
2021-05-25,Japan,0,0,0,111,11
2021-05-25,Sweden,0,0,0,8,1
2021-05-26,Afghanistan,0,0,0,35,2
2021-05-26,Japan,0,0,0,111,11
2021-05-26,Sweden,0,0,0,8,1
2021-05-27,Afghanistan,0,0,0,35,2
2021-05-27,Japan,0,0,0,111,11
2021-05-27,Sweden,0,0,0,8,1
2021-05-28,Afghanistan,0,0,0,35,2
2021-05-28,Japan,0,0,0,111,11
2021-05-28,Sweden,0,0,0,8,1
2021-05-29,Afghanistan,0,0,0,35,2
2021-05-29,Japan,0,0,0,111,11
2021-05-29,Sweden,0,0,0,8,1
2021-05-30,Afghanistan,0,0,0,35,2
2021-05-30,Japan,0,0,0,111,11
2021-05-30,Sweden,0,0,0,8,1
2021-05-31,Afghanistan,0,0,0,35,2
2021-05-31,Japan,0,0,0,111,11
2021-05-31,Sweden,0,0,0,8,1
2021-06-01,Afghanistan,0,0,0,35,2
2021-06-01,Japan,0,0,0,111,11
2021-06-01,Sweden,0,0,0,8,1
2021-06-02,Afghanistan,0,0,0,35,2
2021-06-02,Japan,0,0,0,111,11
2021-06-02,Sweden,0,0,0,8,1
2021-06-03,Afghanistan,0,0,0,35,2
2021-06-03,Japan,0,0,0,111,11
2021-06-03,Sweden,0,0,0,8,1
2021-06-04,Afghanistan,0,0,0,35,2
2021-06-04,Japan,0,0,0,111,11
2021-06-04,Sweden,0,0,0,8,1
2021-06-05,Afghanistan,0,0,0,35,2
2021-06-05,Japan,0,0,0,111,11
2021-06-05,Sweden,0,0,0,8,1
2021-06-06,Afghanistan,0,0,0,35,2
2021-06-06,Japan,0,0,0,111,11
2021-06-06,Sweden,0,0,0,8,1
2021-06-07,Afghanistan,0,0,0,35,2
2021-06-07,Japan,0,0,0,111,11
2021-06-07,Sweden,0,0,0,8,1
2021-06-08,Afghanistan,0,0,0,35,2
2021-06-08,Japan,0,0,0,111,11
2021-06-08,Sweden,0,0,0,8,1
2021-06-09,Afghanistan,0,0,0,35,2
2021-06-09,Japan,0,0,0,111,11
2021-06-09,Sweden,0,0,0,8,1
2021-06-10,Afghanistan,0,0,0,35,2
2021-06-10,Japan,0,0,0,111,11
2021-06-10,Sweden,0,0,0,8,1
2021-06-11,Afghanistan,0,0,0,35,2
2021-06-11,Japan,0,0,0,111,11
2021-06-11,Sweden,0,0,0,8,1
2021-06-12,Afghanistan,0,0,0,35,2
2021-06-12,Japan,0,0,0,111,11
2021-06-12,Sweden,0,0,0,8,1
2021-06-13,Afghanistan,0,0,0,35,2
2021-06-13,Japan,0,0,0,111,11
2021-06-13,Sweden,0,0,0,8,1
2021-06-14,Afghanistan,0,0,0,35,2
2021-06-14,Japan,0,0,0,111,11
2021-06-14,Sweden,0,0,0,8,1
2021-06-15,Afghanistan,0,0,0,35,2
2021-06-15,Japan,0,0,0,111,11
2021-06-15,Sweden,0,0,0,8,1
2021-06-16,Afghanistan,0,0,0,35,2
2021-06-16,Japan,0,0,0,111,11
2021-06-16,Sweden,0,0,0,8,1
2021-06-17,Afghanistan,0,0,0,35,2
2021-06-17,Japan,0,0,0,111,11
2021-06-17,Sweden,0,0,0,8,1
2021-06-18,Afghanistan,0,0,0,35,2
2021-06-18,Japan,0,0,0,111,11
2021-06-18,Sweden,0,0,0,8,1
2021-06-19,Afghanistan,0,0,0,35,2
2021-06-19,Japan,0,0,0,111,11
2021-06-19,Sweden,0,0,0,8,1
2021-06-20,Afghanistan,0,0,0,35,2
2021-06-20,Japan,0,0,0,111,11
2021-06-20,Sweden,0,0,0,8,1
2021-06-21,Afghanistan,0,0,0,35,2
2021-06-21,Japan,0,0,0,111,11
2021-06-21,Sweden,0,0,0,8,1
2021-06-22,Afghanistan,0,0,0,35,2
2021-06-22,Japan,0,0,0,111,11
2021-06-22,Sweden,0,0,0,8,1
2021-06-23,Afghanistan,0,0,0,35,2
2021-06-23,Japan,0,0,0,111,11
2021-06-23,Sweden,0,0,0,8,1
2021-06-24,Afghanistan,0,0,0,35,2
2021-06-24,Japan,0,0,0,111,11
2021-06-24,Sweden,0,0,0,8,1
2021-06-25,Afghanistan,0,0,0,35,2
2021-06-25,Japan,0,0,0,111,11
2021-06-25,Sweden,0,0,0,8,1
2021-06-26,Afghanistan,0,0,0,35,2
2021-06-26,Japan,0,0,0,111,11
2021-06-26,Sweden,0,0,0,8,1
2021-06-27,Afghanistan,0,0,0,35,2
2021-06-27,Japan,0,0,0,111,11
2021-06-27,Sweden,0,0,0,8,1
2021-06-28,Afghanistan,0,0,0,35,2
2021-06-28,Japan,0,0,0,111,11
2021-06-28,Sweden,0,0,0,8,1
2021-06-29,Afghanistan,0,0,0,35,2
2021-06-29,Japan,0,0,0,111,11
2021-06-29,Sweden,0,0,0,8,1
2021-06-30,Afghanistan,0,0,0,35,2
2021-06-30,Japan,0,0,0,111,11
2021-06-30,Sweden,0,0,0,8,1
2021-07-01,Afghanistan,0,0,0,35,2
2021-07-01,Japan,0,0,0,111,11
2021-07-01,Sweden,0,0,0,8,1
2021-07-02,Afghanistan,0,0,0,35,2
2021-07-02,Japan,0,0,0,111,11
2021-07-02,Sweden,0,0,0,8,1
2021-07-03,Afghanistan,0,0,0,35,2
2021-07-03,Japan,0,0,0,111,11
2021-07-03,Sweden,0,0,0,8,1
2021-07-04,Afghanistan,0,0,0,35,2
2021-07-04,Japan,0,0,0,111,11
2021-07-04,Sweden,0,0,0,8,1
2021-07-05,Afghanistan,0,0,0,35,2
2021-07-05,Japan,0,0,0,111,11
2021-07-05,Sweden,0,0,0,8,1
2021-07-06,Afghanistan,0,0,0,35,2
2021-07-06,Japan,0,0,0,111,11
2021-07-06,Sweden,0,0,0,8,1
2021-07-07,Afghanistan,0,0,0,35,2
2021-07-07,Japan,0,0,0,111,11
2021-07-07,Sweden,0,0,0,8,1
2021-07-08,Afghanistan,0,0,0,35,2
2021-07-08,Japan,0,0,0,111,11
2021-07-08,Sweden,0,0,0,8,1
2021-07-09,Afghanistan,0,0,0,35,2
2021-07-09,Japan,0,0,0,111,11
2021-07-09,Sweden,0,0,0,8,1
2021-07-10,Afghanistan,0,0,0,35,2
2021-07-10,Japan,0,0,0,111,11
2021-07-10,Sweden,0,0,0,8,1
2021-07-11,Afghanistan,0,0,0,35,2
2021-07-11,Japan,0,0,0,111,11
2021-07-11,Sweden,0,0,0,8,1
2021-07-12,Afghanistan,0,0,0,35,2
2021-07-12,Japan,0,0,0,111,11
2021-07-12,Sweden,0,0,0,8,1
2021-07-13,Afghanistan,0,0,0,35,2
2021-07-13,Japan,0,0,0,111,11
2021-07-13,Sweden,0,0,0,8,1
2021-07-14,Afghanistan,0,0,0,35,2
2021-07-14,Japan,0,0,0,111,11
2021-07-14,Sweden,0,0,0,8,1
2021-07-15,Afghanistan,0,0,0,35,2
2021-07-15,Japan,0,0,0,111,11
2021-07-15,Sweden,0,0,0,8,1
2021-07-16,Afghanistan,0,0,0,35,2
2021-07-16,Japan,0,0,0,111,11
2021-07-16,Sweden,0,0,0,8,1
2021-07-17,Afghanistan,0,0,0,35,2
2021-07-17,Japan,0,0,0,111,11
2021-07-17,Sweden,0,0,0,8,1
2021-07-18,Afghanistan,0,0,0,35,2
2021-07-18,Japan,0,0,0,111,11
2021-07-18,Sweden,0,0,0,8,1
2021-07-19,Afghanistan,0,0,0,35,2
2021-07-19,Japan,0,0,0,111,11
2021-07-19,Sweden,0,0,0,8,1
2021-07-20,Afghanistan,0,0,0,35,2
2021-07-20,Japan,0,0,0,111,11
2021-07-20,Sweden,0,0,0,8,1
2021-07-21,Afghanistan,0,0,0,35,2
2021-07-21,Japan,0,0,0,111,11
2021-07-21,Sweden,0,0,0,8,1
2021-07-22,Afghanistan,0,0,0,35,2
2021-07-22,Japan,0,0,0,111,11
2021-07-22,Sweden,0,0,0,8,1
2021-07-23,Afghanistan,0,0,0,35,2
2021-07-23,Japan,0,0,0,111,11
2021-07-23,Sweden,0,0,0,8,1
2021-07-24,Afghanistan,0,0,0,35,2
2021-07-24,Japan,0,0,0,111,11
2021-07-24,Sweden,0,0,0,8,1
2021-07-25,Afghanistan,0,0,0,35,2
2021-07-25,Japan,0,0,0,111,11
2021-07-25,Sweden,0,0,0,8,1
2021-07-26,Afghanistan,0,0,0,35,2
2021-07-26,Japan,0,0,0,111,11
2021-07-26,Sweden,0,0,0,8,1
2021-07-27,Afghanistan,0,0,0,35,2
2021-07-27,Japan,0,0,0,111,11
2021-07-27,Sweden,0,0,0,8,1
2021-07-28,Afghanistan,0,0,0,35,2
2021-07-28,Japan,0,0,0,111,11
2021-07-28,Sweden,0,0,0,8,1
2021-07-29,Afghanistan,0,0,0,35,2
2021-07-29,Japan,0,0,0,111,11
2021-07-29,Sweden,0,0,0,8,1
2021-07-30,Afghanistan,0,0,0,35,2
2021-07-30,Japan,0,0,0,111,11
2021-07-30,Sweden,0,0,0,8,1
2021-07-31,Afghanistan,0,0,0,35,2
2021-07-31,Japan,0,0,0,111,11
2021-07-31,Sweden,0,0,0,8,1
2021-08-01,Afghanistan,0,0,0,35,2
2021-08-01,Japan,0,0,0,111,11
2021-08-01,Sweden,0,0,0,8,1
2021-08-02,Afghanistan,0,0,0,35,2
2021-08-02,Japan,0,0,0,111,11
2021-08-02,Sweden,0,0,0,8,1
2021-08-03,Afghanistan,0,0,0,35,2
2021-08-03,Japan,0,0,0,111,11
2021-08-03,Sweden,0,0,0,8,1
2021-08-04,Afghanistan,1,0,0,34,2
2021-08-04,Japan,18,0,0,93,11
2021-08-04,Sweden,1,0,0,7,1
2021-08-05,Afghanistan,4,0,0,31,2
2021-08-05,Japan,24,5,0,82,11
2021-08-05,Sweden,3,0,0,5,1
2021-08-06,Afghanistan,7,0,0,28,2
2021-08-06,Japan,30,8,0,73,11
2021-08-06,Sweden,2,1,0,5,1
2021-08-07,Afghanistan,8,2,0,25,2
2021-08-07,Japan,26,16,0,69,11
2021-08-07,Sweden,1,2,0,5,1
2021-08-08,Afghanistan,6,4,0,25,2
2021-08-08,Japan,26,22,0,63,11
2021-08-08,Sweden,1,2,0,5,1
2021-08-09,Afghanistan,5,6,0,24,2
2021-08-09,Japan,26,21,1,63,11
2021-08-09,Sweden,1,2,0,5,1
2021-08-10,Afghanistan,4,7,0,24,2
2021-08-10,Japan,24,24,2,61,11
2021-08-10,Sweden,1,1,0,6,1
2021-08-11,Afghanistan,4,6,1,24,2
2021-08-11,Japan,20,22,3,66,11
2021-08-11,Sweden,1,0,0,7,1
2021-08-12,Afghanistan,4,5,2,24,2
2021-08-12,Japan,16,21,4,70,11
2021-08-12,Sweden,0,1,0,7,1
2021-08-13,Afghanistan,4,4,4,23,2
2021-08-13,Japan,9,25,5,72,11
2021-08-13,Sweden,0,1,0,7,1
2021-08-14,Afghanistan,4,3,4,24,2
2021-08-14,Japan,6,23,7,75,11
2021-08-14,Sweden,0,1,0,7,1
2021-08-15,Afghanistan,5,2,4,24,2
2021-08-15,Japan,6,17,9,79,11
2021-08-15,Sweden,0,1,0,7,1
2021-08-16,Afghanistan,5,1,4,25,2
2021-08-16,Japan,4,14,12,81,11
2021-08-16,Sweden,0,0,0,8,1
2021-08-17,Afghanistan,5,0,4,26,2
2021-08-17,Japan,3,7,15,86,11
2021-08-17,Sweden,0,0,0,8,1
2021-08-18,Afghanistan,9,1,4,21,2
2021-08-18,Japan,13,3,18,77,11
2021-08-18,Sweden,1,0,0,7,1
2021-08-19,Afghanistan,11,3,4,17,2
2021-08-19,Japan,22,5,18,66,11
2021-08-19,Sweden,4,0,0,4,1
2021-08-20,Afghanistan,13,4,4,14,2
2021-08-20,Japan,23,10,20,58,11
2021-08-20,Sweden,3,2,0,3,1
2021-08-21,Afghanistan,14,6,4,11,2
2021-08-21,Japan,24,16,20,51,11
2021-08-21,Sweden,0,5,0,3,1
2021-08-22,Afghanistan,12,8,4,11,2
2021-08-22,Japan,18,24,20,49,11
2021-08-22,Sweden,0,5,0,3,1
2021-08-23,Afghanistan,11,7,6,11,2
2021-08-23,Japan,13,28,20,49,12
2021-08-23,Sweden,0,5,0,3,1
2021-08-24,Afghanistan,8,9,6,12,2
2021-08-24,Japan,15,23,23,48,13
2021-08-24,Sweden,0,3,0,5,1
2021-08-25,Afghanistan,6,10,5,14,2
2021-08-25,Japan,12,19,26,52,13
2021-08-25,Sweden,0,0,2,6,1
2021-08-26,Afghanistan,5,9,6,15,2
2021-08-26,Japan,12,12,27,57,14
2021-08-26,Sweden,0,0,2,6,1
2021-08-27,Afghanistan,4,9,4,18,2
2021-08-27,Japan,10,9,28,61,14
2021-08-27,Sweden,0,0,2,6,1
2021-08-28,Afghanistan,4,7,5,19,2
2021-08-28,Japan,8,10,27,63,14
2021-08-28,Sweden,0,0,2,6,1
2021-08-29,Afghanistan,5,4,6,20,2
2021-08-29,Japan,8,8,28,64,14
2021-08-29,Sweden,0,0,2,6,1
2021-08-30,Afghanistan,5,2,6,22,2
2021-08-30,Japan,6,9,25,67,15
2021-08-30,Sweden,0,0,2,6,1
2021-08-31,Afghanistan,5,1,6,23,2
2021-08-31,Japan,4,8,23,70,17
2021-08-31,Sweden,0,0,2,6,1
2021-09-01,Afghanistan,4,1,7,23,2
2021-09-01,Japan,4,5,20,75,18
2021-09-01,Sweden,0,0,2,6,1
2021-09-02,Afghanistan,3,2,7,23,2
2021-09-02,Japan,4,5,21,74,18
2021-09-02,Sweden,0,0,2,6,1
2021-09-03,Afghanistan,3,2,7,23,2
2021-09-03,Japan,4,4,20,76,18
2021-09-03,Sweden,0,0,2,6,1
2021-09-04,Afghanistan,3,2,7,23,2
2021-09-04,Japan,4,2,21,77,18
2021-09-04,Sweden,0,0,2,6,1
2021-09-05,Afghanistan,3,1,8,23,2
2021-09-05,Japan,4,2,21,77,18
2021-09-05,Sweden,0,0,2,6,1
2021-09-06,Afghanistan,3,0,6,26,2
2021-09-06,Japan,3,2,20,79,18
2021-09-06,Sweden,0,0,2,6,1
2021-09-07,Afghanistan,2,1,6,26,2
2021-09-07,Japan,3,1,17,81,20
2021-09-07,Sweden,0,0,2,6,1
2021-09-08,Afghanistan,2,1,6,26,2
2021-09-08,Japan,3,1,13,85,20
2021-09-08,Sweden,0,0,0,7,2
2021-09-09,Afghanistan,2,1,4,27,3
2021-09-09,Japan,3,1,11,87,20
2021-09-09,Sweden,0,0,0,7,2
2021-09-10,Afghanistan,2,1,4,27,3
2021-09-10,Japan,3,0,10,89,20
2021-09-10,Sweden,0,0,0,7,2
2021-09-11,Afghanistan,1,1,3,29,3
2021-09-11,Japan,2,1,9,89,21
2021-09-11,Sweden,0,0,0,7,2
2021-09-12,Afghanistan,1,1,2,29,4
2021-09-12,Japan,2,1,6,92,21
2021-09-12,Sweden,0,0,0,7,2
2021-09-13,Afghanistan,1,1,2,29,4
2021-09-13,Japan,2,1,6,92,21
2021-09-13,Sweden,0,0,0,7,2
2021-09-14,Afghanistan,1,1,2,29,4
2021-09-14,Japan,2,1,5,93,21
2021-09-14,Sweden,0,0,0,7,2
2021-09-15,Afghanistan,1,0,1,31,4
2021-09-15,Japan,2,0,6,93,21
2021-09-15,Sweden,0,0,0,7,2
2021-09-16,Afghanistan,1,0,1,31,4
2021-09-16,Japan,2,0,5,94,21
2021-09-16,Sweden,0,0,0,7,2
2021-09-17,Afghanistan,0,1,1,31,4
2021-09-17,Japan,2,0,4,94,22
2021-09-17,Sweden,0,0,0,7,2
2021-09-18,Afghanistan,0,1,1,31,4
2021-09-18,Japan,2,0,3,95,22
2021-09-18,Sweden,0,0,0,7,2
2021-09-19,Afghanistan,0,1,0,32,4
2021-09-19,Japan,2,0,3,95,22
2021-09-19,Sweden,0,0,0,7,2
2021-09-20,Afghanistan,0,1,0,32,4
2021-09-20,Japan,2,0,3,95,22
2021-09-20,Sweden,0,0,0,7,2
2021-09-21,Afghanistan,0,0,1,32,4
2021-09-21,Japan,2,0,2,96,22
2021-09-21,Sweden,0,0,0,7,2
2021-09-22,Afghanistan,0,0,1,32,4
2021-09-22,Japan,2,0,2,96,22
2021-09-22,Sweden,0,0,0,7,2
2021-09-23,Afghanistan,0,0,1,32,4
2021-09-23,Japan,2,0,2,96,22
2021-09-23,Sweden,0,0,0,7,2
2021-09-24,Afghanistan,0,0,1,32,4
2021-09-24,Japan,2,0,1,97,22
2021-09-24,Sweden,0,0,0,7,2
2021-09-25,Afghanistan,0,0,1,32,4
2021-09-25,Japan,2,0,1,97,22
2021-09-25,Sweden,0,0,0,7,2
2021-09-26,Afghanistan,0,0,1,32,4
2021-09-26,Japan,0,2,1,97,22
2021-09-26,Sweden,0,0,0,7,2
2021-09-27,Afghanistan,0,0,1,32,4
2021-09-27,Japan,0,2,1,97,22
2021-09-27,Sweden,0,0,0,7,2
2021-09-28,Afghanistan,0,0,1,32,4
2021-09-28,Japan,0,2,1,97,22
2021-09-28,Sweden,0,0,0,7,2
2021-09-29,Afghanistan,0,0,1,32,4
2021-09-29,Japan,0,2,0,98,22
2021-09-29,Sweden,0,0,0,7,2
2021-09-30,Afghanistan,0,0,1,32,4
2021-09-30,Japan,0,0,1,99,22
2021-09-30,Sweden,0,0,0,7,2
2021-10-01,Afghanistan,0,0,1,32,4
2021-10-01,Japan,0,0,1,99,22
2021-10-01,Sweden,0,0,0,7,2
2021-10-02,Afghanistan,0,0,1,32,4
2021-10-02,Japan,0,0,1,99,22
2021-10-02,Sweden,0,0,0,7,2
2021-10-03,Afghanistan,0,0,1,32,4
2021-10-03,Japan,0,0,1,99,22
2021-10-03,Sweden,0,0,0,7,2
2021-10-04,Afghanistan,0,0,1,32,4
2021-10-04,Japan,0,0,1,99,22
2021-10-04,Sweden,0,0,0,7,2
2021-10-05,Afghanistan,0,0,0,33,4
2021-10-05,Japan,0,0,1,99,22
2021-10-05,Sweden,0,0,0,7,2
2021-10-06,Afghanistan,0,0,0,33,4
2021-10-06,Japan,0,0,1,99,22
2021-10-06,Sweden,0,0,0,7,2
2021-10-07,Afghanistan,0,0,0,33,4
2021-10-07,Japan,0,0,1,99,22
2021-10-07,Sweden,0,0,0,7,2
2021-10-08,Afghanistan,0,0,0,33,4
2021-10-08,Japan,0,0,1,99,22
2021-10-08,Sweden,0,0,0,7,2
2021-10-09,Afghanistan,0,0,0,33,4
2021-10-09,Japan,0,0,1,99,22
2021-10-09,Sweden,0,0,0,7,2
2021-10-10,Afghanistan,0,0,0,33,4
2021-10-10,Japan,0,0,1,99,22
2021-10-10,Sweden,0,0,0,7,2
2021-10-11,Afghanistan,0,0,0,33,4
2021-10-11,Japan,0,0,1,99,22
2021-10-11,Sweden,0,0,0,7,2
2021-10-12,Afghanistan,0,0,0,33,4
2021-10-12,Japan,0,0,1,99,22
2021-10-12,Sweden,0,0,0,7,2
2021-10-13,Afghanistan,0,0,0,33,4
2021-10-13,Japan,0,0,1,99,22
2021-10-13,Sweden,0,0,0,7,2
2021-10-14,Afghanistan,0,0,0,33,4
2021-10-14,Japan,0,0,0,100,22
2021-10-14,Sweden,0,0,0,7,2
